P,S,T,
M,a,x, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,e,a,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,i,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
8,7,V,A,
1948-6-3,-99999,-99999,-99999,
1948-6-4,-99999,-99999,-99999,
1948-6-5,-99999,-99999,-99999,
1948-6-6,-99999,-99999,-99999,
1948-6-7,-99999,-99999,-99999,
1948-6-8,-99999,-99999,-99999,
1948-6-9,-99999,-99999,-99999,
1948-6-10,-99999,-99999,-99999,
1948-6-11,-99999,-99999,-99999,
1948-6-12,-99999,-99999,-99999,
1948-6-13,-99999,-99999,-99999,
1948-6-14,-99999,-99999,-99999,
1948-6-15,-99999,-99999,-99999,
1948-6-16,-99999,-99999,-99999,
1948-6-17,-99999,-99999,-99999,
1948-6-18,-99999,-99999,-99999,
1948-6-19,-99999,-99999,-99999,
1948-6-20,-99999,-99999,-99999,
1948-6-21,-99999,-99999,-99999,
1948-6-22,-99999,-99999,-99999,
1948-6-23,-99999,-99999,-99999,
1948-6-24,-99999,-99999,-99999,
1948-6-25,-99999,-99999,-99999,
1948-6-26,-99999,-99999,-99999,
1948-6-27,-99999,-99999,-99999,
1948-6-28,-99999,-99999,-99999,
1948-6-29,-99999,-99999,-99999,
1948-6-30,-99999,-99999,-99999,
1948-7-1,-99999,-99999,-99999,
1948-7-2,-99999,-99999,-99999,
1948-7-3,-99999,-99999,-99999,
1948-7-4,-99999,-99999,-99999,
1948-7-5,-99999,-99999,-99999,
1948-7-6,-99999,-99999,-99999,
1948-7-7,-99999,-99999,-99999,
1948-7-8,-99999,-99999,-99999,
1948-7-9,-99999,-99999,-99999,
1948-7-10,-99999,-99999,-99999,
1948-7-11,-99999,-99999,-99999,
1948-7-12,-99999,-99999,-99999,
1948-7-13,-99999,-99999,-99999,
1948-7-14,-99999,-99999,-99999,
1948-7-15,-99999,-99999,-99999,
1948-7-16,-99999,-99999,-99999,
1948-7-17,-99999,-99999,-99999,
1948-7-18,-99999,-99999,-99999,
1948-7-19,-99999,-99999,-99999,
1948-7-20,-99999,-99999,-99999,
1948-7-21,-99999,-99999,-99999,
1948-7-22,-99999,-99999,-99999,
1948-7-23,-99999,-99999,-99999,
1948-7-24,-99999,-99999,-99999,
1948-7-25,-99999,-99999,-99999,
1948-7-26,-99999,-99999,-99999,
1948-7-27,-99999,-99999,-99999,
1948-7-28,-99999,-99999,-99999,
1948-7-29,-99999,-99999,-99999,
1948-7-30,-99999,-99999,-99999,
1948-7-31,-99999,-99999,-99999,
1948-8-1,-99999,-99999,-99999,
1948-8-2,-99999,-99999,-99999,
1948-8-3,-99999,-99999,-99999,
1948-8-4,-99999,-99999,-99999,
1948-8-5,74,69,64,
1948-8-6,80,68,55,
1948-8-7,76,68,60,
1948-8-8,80,70,60,
1948-8-9,82,72,61,
1948-8-10,84,72,60,
1948-8-11,84,74,63,
1948-8-12,84,75,66,
1948-8-13,84,74,65,
1948-8-14,86,76,65,
1948-8-15,83,72,62,
1948-8-16,83,72,60,
1948-8-17,82,71,60,
1948-8-18,82,72,61,
1948-8-19,84,73,62,
1948-8-20,79,70,61,
1948-8-21,83,70,58,
1948-8-22,82,72,63,
1948-8-23,85,76,66,
1948-8-24,80,73,66,
1948-8-25,87,78,69,
1948-8-26,92,82,72,
1948-8-27,94,84,73,
1948-8-28,95,84,74,
1948-8-29,98,88,77,
1948-8-30,95,82,70,
1948-8-31,91,78,65,
1948-9-1,73,62,52,
1948-9-2,75,64,52,
1948-9-3,80,68,57,
1948-9-4,83,72,60,
1948-9-5,82,72,63,
1948-9-6,84,74,64,
1948-9-7,81,74,66,
1948-9-8,79,72,65,
1948-9-9,86,77,68,
1948-9-10,90,78,65,
1948-9-11,71,64,56,
1948-9-12,79,70,60,
1948-9-13,84,75,66,
1948-9-14,88,79,70,
